,geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,customer_amount,seller_amount,geolocation_city,geolocation_state,mean_order_price,review_score
0,1001,-23.550189776551765,-46.634023555904214,0,22,sao paulo,SP,0.0,
1,1002,-23.54814573176355,-46.63497921074498,0,0,sao paulo,SP,0.0,
2,1003,-23.548993724813155,-46.63573130997587,1,0,sao paulo,SP,89.99,3.0
3,1004,-23.549798842277003,-46.63475694378971,2,0,sao paulo,SP,89.495,4.5
4,1005,-23.549456199830747,-46.63673294803691,6,0,sao paulo,SP,81.765,4.666666666666667
5,1006,-23.550101811452866,-46.636136735174176,2,0,sao paulo,SP,417.4,5.0
6,1007,-23.550046202351673,-46.63725145963765,4,0,sao paulo,SP,113.87,2.0
7,1008,-23.546001749383464,-46.63588592135779,4,0,sao paulo,SP,123.595,3.75
8,1009,-23.546835208320854,-46.636490695312204,8,0,sao paulo,SP,150.82375,3.75
9,1010,-23.546389438369268,-46.635226081509046,0,0,sao paulo,SP,0.0,
10,1011,-23.54690864025111,-46.63558202636042,6,0,sao paulo,SP,42.61666666666667,3.6666666666666665
11,1012,-23.547789733146864,-46.63485900505736,2,0,sao paulo,SP,322.45,4.5
12,1013,-23.547142028323904,-46.63423580006205,3,0,sao paulo,SP,90.29666666666667,5.0
13,1014,-23.545912805690424,-46.633615371244936,4,0,sao paulo,SP,60.267500000000005,3.5
14,1015,-23.547665749383476,-46.631558570722675,2,0,sao paulo,SP,48.894999999999996,4.5
15,1016,-23.548976407029944,-46.63235192955855,2,0,sao paulo,SP,115.0,2.0
16,1017,-23.549531271947856,-46.63102384555222,4,0,sao paulo,SP,95.2075,1.75
17,1018,-23.55092851790901,-46.63243146837754,0,0,sao paulo,SP,0.0,
18,1019,-23.551774137807588,-46.63089338270139,1,0,sao paulo,SP,18.9,3.0
19,1020,-23.552335651551417,-46.63004970984574,7,0,sao paulo,SP,362.92142857142863,4.428571428571429
20,1021,-23.543000459064807,-46.63214323386248,2,41,sao paulo,SP,116.45,5.0
21,1022,-23.544921826153427,-46.631931335611945,1,5,sao paulo,SP,173.0,4.0
22,1023,-23.542330784361457,-46.63137340438762,1,5,sao paulo,SP,148.9,5.0
23,1024,-23.54140143278026,-46.62990400057277,2,0,sao paulo,SP,101.45,4.0
24,1025,-23.540291945676334,-46.630928059419446,1,0,sao paulo,SP,1654.44,5.0
25,1026,-23.539657127270956,-46.63188421270581,4,305,sao paulo,SP,97.1725,4.75
26,1027,-23.538082328385336,-46.630668675067795,2,0,sao paulo,SP,304.45,5.0
27,1028,-23.535932541180536,-46.63355514575825,0,0,sao paulo,SP,0.0,
28,1029,-23.541373048980535,-46.633415988443026,0,0,sao paulo,SP,0.0,
29,1030,-23.539549291753428,-46.63302325151353,3,0,sao paulo,SP,65.65666666666668,4.333333333333333
30,1031,-23.541905853440447,-46.63508761691669,4,124,sao paulo,SP,121.19999999999999,5.0
31,1032,-23.540124454559965,-46.635193543797676,3,0,sao paulo,SP,95.00666666666666,3.0
32,1033,-23.5392714370778,-46.63587808421484,5,0,sao paulo,SP,297.16,3.4
33,1034,-23.542515317419948,-46.637367448800894,0,0,sao paulo,SP,0.0,
34,1035,-23.541614488738958,-46.64154914252655,10,18,sao paulo,SP,79.139,4.1
35,1036,-23.54164845233629,-46.641443277359315,6,0,sao paulo,SP,76.83333333333333,2.8333333333333335
36,1037,-23.545411016454086,-46.63892437204838,4,0,sao paulo,SP,223.42499999999998,4.5
37,1038,-23.54390737962768,-46.63999380609391,2,0,sao paulo,SP,91.495,4.0
38,1039,-23.54137085777194,-46.63916528885119,0,1,sao paulo,SP,0.0,
39,1040,-23.541028179008823,-46.638324694969405,0,21,sao paulo,SP,0.0,
40,1041,-23.54390458746036,-46.64004648644473,2,2,sao paulo,SP,232.95,5.0
41,1042,-23.544852949531748,-46.640410456031695,8,1,sao paulo,SP,110.93,1.875
42,1043,-23.545765991186382,-46.641502464541404,1,0,sao paulo,SP,19.0,5.0
43,1044,-23.545598238423416,-46.641452670153164,4,14,sao paulo,SP,49.4725,4.75
44,1045,-23.542345366178555,-46.64252697570119,2,0,sao paulo,SP,105.0,5.0
45,1046,-23.545930039168788,-46.6439975177819,19,0,sao paulo,SP,109.84947368421052,4.0
46,1047,-23.54618760708176,-46.64106743356166,7,0,sao paulo,SP,107.78142857142858,4.285714285714286
47,1048,-23.54711318884073,-46.63983987489639,10,0,sao paulo,SP,114.48400000000001,4.5
48,1049,-23.547011236746002,-46.63916570493306,2,0,sao paulo,SP,149.9,4.5
49,1050,-23.549229163580517,-46.64303023455155,7,0,sao paulo,SP,84.91285714285713,4.0
50,1101,-23.528286860378213,-46.631957535031056,0,0,sao paulo,SP,0.0,
51,1102,-23.525571406955734,-46.63028748439394,1,0,sao paulo,SP,37.0,3.0
52,1103,-23.53546844605214,-46.630290773383464,6,0,sao paulo,SP,94.59833333333334,3.6666666666666665
53,1104,-23.534952165368537,-46.62957039061348,0,0,sao paulo,SP,0.0,
54,1105,-23.53409398177586,-46.62907768017333,5,0,sao paulo,SP,62.153999999999996,5.0
55,1106,-23.530220775137824,-46.6282212595308,2,0,sao paulo,SP,51.974999999999994,4.0
56,1107,-23.526087892031367,-46.629589887186604,3,0,sao paulo,SP,260.26666666666665,4.666666666666667
57,1108,-23.527232171325494,-46.630354418199865,1,0,sao paulo,SP,29.9,5.0
58,1109,-23.524624899587646,-46.627103243360565,0,0,sao paulo,SP,0.0,
59,1120,-23.530162529753113,-46.6395114116631,3,0,sao paulo,SP,129.96666666666667,4.666666666666667
60,1121,-23.52786665899882,-46.635256920492864,4,0,sao paulo,SP,113.44000000000001,4.0
61,1122,-23.531130596538613,-46.638324826141904,9,0,sao paulo,SP,180.98555555555558,4.222222222222222
62,1123,-23.5291645437106,-46.63658239267475,7,38,sao paulo,SP,52.03714285714286,5.0
63,1124,-23.528221233825743,-46.63309540109692,1,0,sao paulo,SP,149.95,5.0
64,1125,-23.527288449571635,-46.64016432350875,2,1,sao paulo,SP,79.995,3.0
65,1126,-23.527066549337565,-46.6391527868084,0,13,sao paulo,SP,0.0,
66,1127,-23.525480803366627,-46.64159548852642,3,1,sao paulo,SP,47.643333333333324,4.0
67,1128,-23.523786738657147,-46.64220966455255,0,0,sao paulo,SP,0.0,
68,1129,-23.524051385464382,-46.645073040129965,5,22,sao paulo,SP,54.738,4.6
69,1130,-23.524830820867123,-46.64492992157745,0,0,sao paulo,SP,0.0,
70,1131,-23.52237973767103,-46.64310784736644,9,1,sao paulo,SP,94.45888888888891,4.666666666666667
71,1132,-23.521539879304328,-46.64873923331726,3,0,sao paulo,SP,133.29333333333332,3.3333333333333335
72,1133,-23.52042428170985,-46.65332230946677,0,0,sao paulo,SP,0.0,
73,1134,-23.518899939878278,-46.65269033643668,3,0,sao paulo,SP,22.143333333333334,4.0
74,1135,-23.526190426729194,-46.650970041202214,7,0,sao paulo,SP,47.381428571428565,3.2857142857142856
75,1136,-23.523986920181724,-46.66135135045781,1,0,sao paulo,SP,29.9,2.0
76,1137,-23.522851480322114,-46.65280923153936,4,0,sao paulo,SP,44.275,4.0
77,1138,-23.52245582393925,-46.65525390366422,5,0,sao paulo,SP,217.75799999999998,4.4
78,1139,-23.520724956071753,-46.665938971441705,8,1,sao paulo,SP,116.46625,3.375
79,1140,-23.520438443709033,-46.6692371684404,6,2,sao paulo,SP,175.01333333333332,4.0
80,1141,-23.52031032590555,-46.66643901391753,5,0,sao paulo,SP,218.74,3.8
81,1142,-23.519934305152635,-46.6251300217966,0,0,sao paulo,SP,0.0,
82,1144,-23.52357274929584,-46.67242459028444,2,0,sao paulo,SP,307.995,5.0
83,1150,-23.532953023597276,-46.658245942661374,5,0,sao paulo,SP,75.478,3.8
84,1151,-23.53164158468372,-46.65628875324909,8,0,sao paulo,SP,84.64,4.75
85,1152,-23.529884845741275,-46.65527643333265,5,0,sao paulo,SP,94.05999999999999,4.6
86,1153,-23.529930846298743,-46.65354908690434,9,0,sao paulo,SP,89.08777777777777,4.666666666666667
87,1154,-23.53053589724994,-46.65929570388057,9,0,sao paulo,SP,196.62555555555556,4.222222222222222
88,1155,-23.529072884025155,-46.66331995168207,4,0,sao paulo,SP,294.7,4.5
89,1156,-23.52892113830292,-46.66643724514503,10,4,sao paulo,SP,54.602999999999994,5.0
90,1189,-23.53210825506378,-46.63839470107914,0,0,sao paulo,SP,0.0,
91,1200,-23.531567773241413,-46.64986907784642,0,0,sao paulo,SP,0.0,
92,1201,-23.536082809674177,-46.6495393904693,7,21,sao paulo,SP,119.12571428571428,4.714285714285714
93,1202,-23.533742576459318,-46.64828045105448,11,0,sao paulo,SP,111.12818181818183,3.5454545454545454
94,1203,-23.535964656661317,-46.6452995563268,5,0,sao paulo,SP,131.94,5.0
95,1204,-23.53599263946852,-46.644089822607214,5,0,sao paulo,SP,301.594,4.0
96,1205,-23.536490774893966,-46.642641966809634,1,0,sao paulo,SP,93.49,5.0
97,1206,-23.535863685117462,-46.64281871336397,2,15,sao paulo,SP,64.445,5.0
98,1207,-23.53917556013519,-46.63865415001012,4,4,sao paulo,SP,55.845000000000006,3.0
99,1208,-23.538660495662256,-46.63898204602016,1,4,sao paulo,SP,15.0,5.0
100,1209,-23.540695255566053,-46.641582935722816,4,38,sao paulo,SP,90.375,3.5
101,1210,-23.540039340558916,-46.64209131081345,7,5,sao paulo,SP,142.38571428571427,4.428571428571429
102,1211,-23.53757657410565,-46.64883790118901,7,0,sao paulo,SP,73.67142857142858,4.571428571428571
103,1212,-23.538268511790665,-46.63942263256764,0,1037,sao paulo,SP,0.0,
104,1213,-23.53650149461516,-46.64036116340707,2,0,sao paulo,SP,77.0,3.0
105,1214,-23.53884249396187,-46.64523045306012,6,10,sao paulo,SP,70.69333333333333,4.833333333333333
106,1215,-23.53616739991495,-46.64754185786534,3,3,sao paulo,SP,161.6,4.333333333333333
107,1216,-23.533127593964497,-46.64783380745067,6,0,sao paulo,SP,442.65000000000003,4.0
108,1217,-23.532657557836473,-46.648883992986285,3,0,sao paulo,SP,139.7,4.666666666666667
109,1218,-23.53124979886405,-46.64832514105406,11,0,sao paulo,SP,39.15818181818182,2.6363636363636362
110,1219,-23.541288814286364,-46.64569860301067,12,0,sao paulo,SP,120.27500000000002,4.833333333333333
111,1220,-23.54451401110975,-46.64603990221943,8,5,sao paulo,SP,144.67374999999998,4.375
112,1221,-23.544867697472093,-46.64828171537102,10,0,sao paulo,SP,62.727,4.1
113,1222,-23.54594454397298,-46.64936937401518,21,36,sao paulo,SP,121.97857142857146,4.523809523809524
114,1223,-23.54408811655857,-46.64858211715019,13,2,sao paulo,SP,113.09923076923077,3.769230769230769
115,1224,-23.54177865147578,-46.652422339639514,25,29,sao paulo,SP,121.37799999999999,3.68
116,1225,-23.539786021213725,-46.64913883151014,5,0,sao paulo,SP,93.524,4.4
117,1226,-23.538010108905674,-46.65271926812754,17,1,sao paulo,SP,168.85176470588237,3.235294117647059
118,1227,-23.54620191296879,-46.658384582734,15,0,sao paulo,SP,114.17866666666669,4.266666666666667
119,1228,-23.54518937928602,-46.657610856988505,11,0,sao paulo,SP,124.06,3.909090909090909
120,1229,-23.53890160984344,-46.657291130376805,23,0,sao paulo,SP,117.47782608695653,3.8260869565217392
121,1230,-23.53631040591802,-46.65711200863415,33,21,sao paulo,SP,113.77515151515152,4.181818181818182
122,1231,-23.53695040742613,-46.659255892784934,12,0,sao paulo,SP,360.19750000000005,4.166666666666667
123,1232,-23.536428003530194,-46.657426011378035,14,0,sao paulo,SP,154.9707142857143,4.357142857142857
124,1233,-23.53624654014997,-46.66166521796584,17,128,sao paulo,SP,114.70529411764704,4.647058823529412
125,1234,-23.53968956225155,-46.66424403546397,10,0,sao paulo,SP,53.238,4.6
126,1235,-23.53671427686228,-46.66466630391698,2,0,sao paulo,SP,42.9,5.0
127,1236,-23.543550224431343,-46.66741941090643,0,0,sao paulo,SP,0.0,
128,1237,-23.543234451012324,-46.66872440228904,3,0,sao paulo,SP,69.99,1.0
129,1238,-23.542571396851127,-46.65424333104065,16,1,sao paulo,SP,100.63875000000002,4.25
130,1239,-23.54309527008478,-46.63105919621764,10,29,sao paulo,SP,106.796,5.0
131,1240,-23.54379184344285,-46.65854396252987,15,0,sao paulo,SP,97.02533333333334,4.266666666666667
132,1241,-23.54552478660238,-46.657840193083345,8,0,sao paulo,SP,63.66749999999999,3.25
133,1242,-23.546506947085877,-46.65850174642454,9,0,sao paulo,SP,108.74111111111112,4.555555555555555
134,1243,-23.54812030499438,-46.65919184884557,11,0,sao paulo,SP,155.9754545454546,4.636363636363637
135,1244,-23.56204912797664,-46.65959031403357,7,6,sao paulo,SP,95.68285714285715,4.714285714285714
136,1245,-23.549475523846695,-46.66382107418295,0,0,sao paulo,SP,0.0,
137,1246,-23.553481295249675,-46.666318477031005,1,0,sao paulo,SP,249.9,1.0
138,1247,-23.55063807285042,-46.66865580450114,0,0,sao paulo,SP,0.0,
139,1248,-23.54791252484105,-46.66802631332551,1,0,sao paulo,SP,66.71,5.0
140,1249,-23.54841989244908,-46.67122044555848,0,0,sao paulo,SP,0.0,
141,1250,-23.547640483076,-46.67197263354334,2,0,sao paulo,SP,152.9,5.0
142,1251,-23.548374516404742,-46.67484647170288,3,0,sao paulo,SP,33.29,3.6666666666666665
143,1252,-23.54175397547087,-46.67893404000763,8,0,sao paulo,SP,63.076249999999995,3.375
144,1253,-23.544929126352915,-46.679164692087,1,0,sao paulo,SP,19.9,4.0
145,1254,-23.54333742025504,-46.68085240293401,3,1,sao paulo,SP,139.96333333333334,3.0
146,1255,-23.54636983531918,-46.68154172682528,3,0,sao paulo,SP,58.63333333333333,4.333333333333333
147,1256,-23.547773256174626,-46.682838349154586,1,0,sao paulo,SP,69.9,5.0
148,1257,-23.54360983905433,-46.68783857511076,18,89,sao paulo,SP,133.26277777777776,3.2222222222222223
149,1258,-23.54403701732507,-46.686850912471385,16,0,sao paulo,SP,221.75437499999998,4.8125
150,1259,-23.541418553843286,-46.685303896769355,5,0,sao paulo,SP,32.596000000000004,3.8
151,1262,-23.550856391462712,-46.67735184892536,0,0,sao paulo,SP,0.0,
152,1290,-23.54096134139296,-46.657748702752585,0,0,sao paulo,SP,0.0,
153,1301,-23.549328970281234,-46.650890098687555,7,0,sao paulo,SP,113.29571428571428,4.0
154,1302,-23.5490029212623,-46.649552278636094,6,0,sao paulo,SP,77.47166666666665,4.833333333333333
155,1303,-23.54950569815466,-46.64843251428849,19,13,sao paulo,SP,57.507368421052625,4.631578947368421
156,1304,-23.554056434811184,-46.65520236871312,9,0,sao paulo,SP,152.45555555555555,5.0
157,1305,-23.55262273586526,-46.65253828877208,3,0,sao paulo,SP,145.06666666666663,5.0
158,1306,-23.553785206718914,-46.64960509694539,25,0,sao paulo,SP,112.1696,4.36
159,1307,-23.552778010115734,-46.65320770049066,34,0,sao paulo,SP,75.93323529411765,4.147058823529412
160,1308,-23.555981373614493,-46.65331111428111,12,0,sao paulo,SP,81.1125,4.25
161,1309,-23.55549308001593,-46.658452189500665,14,5,sao paulo,SP,140.90214285714285,3.0714285714285716
162,1310,-23.56165294846951,-46.65602130430725,16,26,sao paulo,SP,101.29812500000001,4.25
163,1311,-23.564504609380954,-46.65279265595322,35,5,sao paulo,SP,189.83828571428558,4.171428571428572
164,1312,-23.55479387261339,-46.64961491794627,10,0,sao paulo,SP,61.54600000000001,4.2
165,1313,-23.556111699158375,-46.65057380587253,13,0,sao paulo,SP,184.93846153846155,4.461538461538462
166,1314,-23.552640734461253,-46.645204377633014,6,2,sao paulo,SP,93.09999999999998,4.333333333333333
167,1315,-23.55408999997805,-46.64038909569764,17,0,sao paulo,SP,106.33000000000001,3.5294117647058822
168,1316,-23.552954845393913,-46.63943281932129,10,0,sao paulo,SP,67.98799999999999,4.2
169,1317,-23.55623821364504,-46.64005986522848,16,0,sao paulo,SP,112.8375,4.5
170,1318,-23.559447989888127,-46.64241273733221,7,0,sao paulo,SP,146.85142857142858,4.142857142857143
171,1319,-23.551881657731418,-46.64072797271628,5,169,sao paulo,SP,73.398,4.4
172,1320,-23.557955062291967,-46.639347399325395,2,5,sao paulo,SP,44.900000000000006,4.5
173,1321,-23.562128634884576,-46.64191854981315,18,0,sao paulo,SP,111.85777777777781,4.888888888888889
